league,season,team,player,league_id,season,team_id,player_id,position,matches,minutes,goals,xg,np_goals,np_xg,assists,xa,shots,key_passes,yellow_cards,red_cards,xg_chain,xg_buildup,source,player_std
ENG-Premier League,1920,Bournemouth,Ryan Fraser,1,2019,73,1683,F M S,28,2054,1,3.464269880205393,1,3.464269880205393,4,3.600613696500659,27,44,2,0,9.42374673485756,4.503551006317139,understat,ryan fraser
ENG-Premier League,1920,Bournemouth,Sam Surridge,1,2019,73,5602,S,4,20,0,0.8971610069274902,0,0.8971610069274902,0,0.06571190059185028,2,1,0,0,0.48576490581035614,0.0,understat,sam surridge
ENG-Premier League,1920,Bournemouth,Simon Francis,1,2019,73,456,D S,15,956,0,0.15451990067958832,0,0.15451990067958832,0,0.4215389918535948,3,4,3,1,1.762462705373764,1.6790957059711218,understat,simon francis
ENG-Premier League,1920,Bournemouth,Steve Cook,1,2019,73,458,D S,29,2431,1,0.6190798981115222,1,0.6190798981115222,0,0.6960187861695886,12,4,6,1,3.9237448014318943,3.7979096062481403,understat,steve cook
ENG-Premier League,1920,Brighton,Aaron Connolly,1,2019,220,7991,F S,24,1279,3,4.553528117015958,3,4.553528117015958,1,0.56201739795506,36,6,0,0,4.356781048700213,0.35419949889183044,understat,aaron connolly
ENG-Premier League,1920,Brighton,Aaron Mooy,1,2019,220,6033,F M S,31,2095,2,2.5181911941617727,2,2.5181911941617727,2,3.7491019684821367,33,39,1,1,8.611671870574355,4.264197228476405,understat,aaron mooy
ENG-Premier League,1920,Brighton,Adam Webster,1,2019,220,7699,D,31,2668,3,1.5777925020083785,3,1.5777925020083785,1,1.0943772848695517,16,10,4,0,6.390758313238621,6.152599917724729,understat,adam webster
ENG-Premier League,1920,Brighton,Alexis Mac Allister,1,2019,220,8379,F M S,9,357,0,0.5874680867418647,0,0.5874680867418647,0,0.20335080474615097,7,5,0,0,1.1725874012336135,0.5007041096687317,understat,alexis mac allister
ENG-Premier League,1920,Brighton,Alireza Jahanbakhsh,1,2019,220,6842,F M S,10,301,2,0.5862447917461395,2,0.5862447917461395,0,0.9932845234870911,12,4,0,0,1.5888512954115868,0.7349358983337879,understat,alireza jahanbakhsh
ENG-Premier League,1920,Brighton,Bernardo,1,2019,220,5245,D S,14,678,0,0.4542922992259264,0,0.4542922992259264,0,0.9403806142508984,7,4,1,0,2.1200716234743595,1.3338906057178974,understat,bernardo
ENG-Premier League,1920,Brighton,Dale Stephens,1,2019,220,6051,M S,33,2528,0,0.44413422979414463,0,0.44413422979414463,1,1.2471918314695358,19,18,8,0,7.186790246516466,6.239625861868262,understat,dale stephens
ENG-Premier League,1920,Brighton,Dan Burn,1,2019,220,7382,D S,34,2879,0,1.9053620267659426,0,1.9053620267659426,0,1.6736764125525951,13,20,5,0,7.785164429806173,6.5150112779811025,understat,dan burn
ENG-Premier League,1920,Brighton,Davy Pröpper,1,2019,220,6050,M S,35,2826,1,1.8662209268659353,1,1.8662209268659353,2,2.9777762684971094,29,29,4,0,11.89282389357686,8.669301722198725,understat,davy propper
ENG-Premier League,1920,Brighton,Ezequiel Schelotto,1,2019,220,3873,D S,8,362,0,0.2549653984606266,0,0.2549653984606266,0,0.0,4,0,1,0,0.49947990104556084,0.24451449885964394,understat,ezequiel schelotto
ENG-Premier League,1920,Brighton,Florin Andone,1,2019,220,4068,F S,3,69,1,0.36459600925445557,1,0.36459600925445557,0,0.0581962987780571,1,1,0,1,0.36459600925445557,0.0,understat,florin andone
