league_name,season_id,team_id,player_id,position,matches,minutes,goals,assists,xg,xa,shots,key_passes,yellow_cards,red_cards,xg_chain,xg_buildup,source
ESP-La Liga,2020,154,6221,D,33,2970,2,2,1.0819476963952184,0.7952973991632462,8,6,2,0,11.663440612144768,11.333519794978201,understat
ESP-La Liga,2020,154,5199,M S,5,140,0,0,0.355650395154953,0.04711819998919964,6,2,0,0,0.3722969926893711,0.1054972019046545,understat
ESP-La Liga,2020,154,5199,M S,5,140,0,0,0.355650395154953,0.04711819998919964,6,2,0,0,0.3722969926893711,0.1054972019046545,understat
ESP-La Liga,2020,154,597,D S,10,725,0,0,0.7776756137609482,0.0,4,0,1,0,2.2667144909501076,2.1980935111641884,understat
ESP-La Liga,2020,154,597,D S,10,725,0,0,0.7776756137609482,0.0,4,0,1,0,2.2667144909501076,2.1980935111641884,understat
ESP-La Liga,2020,154,1588,D,35,3126,0,0,0.781050406396389,0.7193030025810003,8,4,7,0,12.386993767693639,12.285183299332857,understat
ESP-La Liga,2020,154,1588,D,35,3126,0,0,0.781050406396389,0.7193030025810003,8,4,7,0,12.386993767693639,12.285183299332857,understat
ESP-La Liga,2020,154,5075,D F M S,19,1113,1,1,0.7257645986974239,0.6331339087337255,6,6,1,0,3.3781577050685883,2.485560681670904,understat
ESP-La Liga,2020,154,5075,D F M S,19,1113,1,1,0.7257645986974239,0.6331339087337255,6,6,1,0,3.3781577050685883,2.485560681670904,understat
ESP-La Liga,2020,154,7208,F M S,28,1344,4,2,3.201687107793987,2.5685454346239567,31,28,0,0,8.28949117846787,3.2520117834210396,understat
ESP-La Liga,2020,154,7208,F M S,28,1344,4,2,3.201687107793987,2.5685454346239567,31,28,0,0,8.28949117846787,3.2520117834210396,understat
ESP-La Liga,2020,154,2460,GK,36,3240,0,0,0.0,0.0,0,0,2,0,7.062065819278359,7.062065819278359,understat
ESP-La Liga,2020,154,2460,GK,36,3240,0,0,0.0,0.0,0,0,2,0,7.062065819278359,7.062065819278359,understat
ESP-La Liga,2020,154,2065,M S,13,920,0,0,0.09048389084637165,0.08564719930291176,3,2,4,0,4.424344988539815,4.330353977158666,understat
ESP-La Liga,2020,154,2065,M S,13,920,0,0,0.09048389084637165,0.08564719930291176,3,2,4,0,4.424344988539815,4.330353977158666,understat
ESP-La Liga,2020,154,9024,F M S,24,763,3,1,0.9964310973882675,1.521646410226822,13,10,4,0,3.9521250762045383,1.9021079950034618,understat
ESP-La Liga,2020,154,9024,F M S,24,763,3,1,0.9964310973882675,1.521646410226822,13,10,4,0,3.9521250762045383,1.9021079950034618,understat
ESP-La Liga,2020,154,8417,M S,6,132,0,0,0.08651319891214371,0.04338339902460575,2,2,0,0,0.21324069797992706,0.12762179970741272,understat
ESP-La Liga,2020,154,8417,M S,6,132,0,0,0.08651319891214371,0.04338339902460575,2,2,0,0,0.21324069797992706,0.12762179970741272,understat
ESP-La Liga,2020,154,9203,S,1,1,0,0,0.0,0.0,0,0,0,0,0.0,0.0,understat
ESP-La Liga,2020,154,9203,S,1,1,0,0,0.0,0.0,0,0,0,0,0.0,0.0,understat
ESP-La Liga,2022,208,2166,F M S,30,1536,4,3,3.9514055643230677,3.16005923692137,50,31,3,1,5.651959799230099,2.0733875893056393,understat
ESP-La Liga,2022,208,5138,D M S,30,1875,0,3,0.39584873896092176,3.0047485772520304,10,22,2,0,6.819141495972872,4.669360056519508,understat
ESP-La Liga,2022,208,10977,M S,22,750,1,0,1.3081346424296498,0.4225325230509043,17,8,4,0,2.551046405918896,1.1344574484974146,understat
ESP-La Liga,2022,208,7226,D S,21,1481,1,0,0.6245033442974091,0.03819621633738279,3,2,5,0,3.0424943305552006,2.953294787555933,understat
ESP-La Liga,2022,208,2066,S,2,35,0,0,0.07372809946537018,0.17297899723052979,1,2,1,0,0.07372809946537018,0.0,understat
ESP-La Liga,2022,208,11041,M S,25,1673,1,0,0.33962350338697433,1.2134180702269077,7,5,6,0,4.566949136555195,3.761141125112772,understat
ESP-La Liga,2022,208,2174,S,1,41,0,0,0.0,0.0,0,0,0,0,0.0,0.0,understat
ESP-La Liga,2022,208,10976,F S,20,476,0,1,0.9425421776250005,0.9455130640417337,13,10,1,0,1.875226754695177,0.6038508117198944,understat
ESP-La Liga,2022,208,8294,F S,21,1278,7,2,6.231381913647056,0.7389202993363142,29,14,0,0,7.832287222146988,1.316285077482462,understat
ESP-La Liga,2022,208,10969,GK,37,3289,0,0,0.0,0.0,0,0,3,0,3.590829753316939,3.590829753316939,understat
ESP-La Liga,2022,208,5042,GK,17,1530,0,0,0.0,0.12632366828620434,0,3,0,0,1.3957984391599894,1.2694747745990753,understat
ESP-La Liga,2022,208,2149,M S,27,659,2,1,0.4702072087675333,0.9735526535660028,5,13,1,0,4.503319492563605,3.624378375709057,understat
ESP-La Liga,2022,208,6953,M S,27,1919,4,3,2.9841087525710464,1.6417159559205174,24,19,5,0,7.187590108253062,4.5795428566634655,understat
ESP-La Liga,2022,208,8649,D S,14,896,0,1,0.03145800158381462,0.3129900060594082,1,4,2,0,2.129533041268587,2.02009604126215,understat
ESP-La Liga,2022,208,10970,D S,13,583,0,0,0.08417130261659622,0.0,1,0,5,0,1.165939375758171,1.165939375758171,understat
ESP-La Liga,2022,208,10975,F M S,33,1379,3,1,4.351289687678218,1.956996165215969,41,13,6,0,7.751096362248063,2.461212081834674,understat
ESP-La Liga,2022,208,2592,S,11,137,1,1,0.2645194008946419,0.6758679896593094,6,2,0,0,0.4720181953161955,0.25388419441878796,understat
ESP-La Liga,2022,208,2304,F M S,28,1775,4,1,4.972651930525899,1.3178994208574295,44,17,7,0,6.464914631098509,1.6458432963117957,understat
ESP-La Liga,2022,208,10972,M S,37,2896,2,7,2.3716749036684632,7.5181821854785085,36,53,7,0,13.242084063589573,7.2222047951072454,understat
ESP-La Liga,2022,208,8978,F M S,21,1498,4,4,4.259950110688806,2.599911816418171,39,14,4,1,7.722347047179937,1.6062554772943258,understat
ESP-La Liga,2022,208,11099,F M S,19,699,6,0,3.8607827639207244,0.719991048797965,25,12,1,0,5.336115034297109,1.1216947715729475,understat
ESP-La Liga,2022,208,11042,S,2,13,0,0,0.054537899792194366,0.0,1,0,1,0,0.0,0.0,understat
ESP-La Liga,2022,208,1131,D,36,3162,0,1,0.8061664355918765,0.6282739248126745,19,6,8,1,6.582854203879833,6.340265817940235,understat
ESP-La Liga,2022,208,10974,M S,32,1986,1,2,1.990099716000259,0.9598620962351561,20,13,5,0,5.41805680282414,4.992006683722138,understat
ESP-La Liga,2022,208,2594,D M S,29,2303,1,0,1.7648047748953104,2.0613306146115065,23,21,5,0,8.330277349799871,6.244245415553451,understat
ESP-La Liga,2022,208,10971,D S,34,2997,3,0,1.454300044104457,0.19549441896378994,9,7,5,0,6.4851946644485,6.320092674344778,understat
ESP-La Liga,2022,208,1450,F S,5,328,3,0,1.8637180104851723,0.3351791985332966,8,3,1,0,2.035436175763607,0.05808890238404274,understat
ESP-La Liga,2022,208,8773,D M S,15,1118,1,2,0.80875532515347,1.1211063899099827,6,13,0,0,4.475170537829399,3.4672376923263073,understat
ESP-La Liga,2022,208,10973,M S,25,936,1,1,0.8198017943650484,0.6473222970962524,7,11,6,0,3.3945540143176913,2.8378803161904216,understat
ESP-La Liga,2022,147,8948,D S,16,849,0,0,0.4708193317055702,0.1742695327848196,9,3,3,0,1.9513757824897766,1.9071601666510105,understat
ESP-La Liga,2022,147,5091,F M S,37,2313,4,1,5.65740998275578,4.944238013587892,57,53,2,0,11.792327504605055,4.7892356012016535,understat
ESP-La Liga,2022,147,2125,D S,7,99,0,0,0.0,0.04558569937944412,0,1,1,0,0.26499029248952866,0.26499029248952866,understat
ESP-La Liga,2022,147,552,M S,17,698,0,1,0.5047049596905708,1.2263540029525757,10,11,4,1,4.856133343651891,3.9886373840272427,understat
ESP-La Liga,2022,147,5173,F S,5,91,0,0,0.23645100742578506,0.1075206957757473,4,2,0,0,0.41950900107622147,0.112807996571064,understat
ESP-La Liga,2022,147,2396,D S,3,119,0,0,0.021331600844860077,0.0,1,0,0,0,0.383774995803833,0.383774995803833,understat
ESP-La Liga,2022,147,2130,M S,25,1515,0,2,0.49691347032785416,0.5720137730240822,8,10,6,0,4.418123384937644,3.8942277301102877,understat
ESP-La Liga,2022,147,6766,D S,29,2368,1,0,0.8145049922168255,1.0042304378002882,13,6,7,1,5.092971863225102,4.599162587895989,understat
ESP-La Liga,2022,147,2452,D S,37,2834,1,6,0.7539238221943378,3.414660105481744,4,37,7,0,10.843989925459027,8.378865968436003,understat
ESP-La Liga,2022,147,7020,F S,30,1409,6,1,6.38426064606756,1.239474257454276,51,14,2,0,9.517838278785348,3.251096060499549,understat
ESP-La Liga,2022,147,2399,F M S,36,2884,10,3,11.302643245086074,6.15851891413331,85,39,2,0,17.5813892390579,3.8634488387033343,understat
ESP-La Liga,2022,147,2484,D,15,1341,1,0,0.9951024046167731,0.20259679667651653,10,5,1,0,3.6736533530056477,3.590801015496254,understat
ESP-La Liga,2022,147,8727,S,10,45,0,1,0.0,0.33619099855422974,0,4,0,0,0.5309614948928356,0.22539199702441692,understat
ESP-La Liga,2022,147,9824,GK S,8,672,0,0,0.0,0.0,0,0,0,0,0.44177261739969254,0.44177261739969254,understat
ESP-La Liga,2022,147,10981,S,8,68,0,0,0.03631253633648157,0.1316871326416731,2,3,0,0,0.29202630929648876,0.16997181624174118,understat
ESP-La Liga,2022,147,5077,M S,36,2566,3,3,3.8668628549203277,1.5124138267710805,29,20,5,0,9.45955678448081,8.180542539805174,understat
ESP-La Liga,2022,147,2401,M S,30,1704,0,3,3.279739523306489,3.825984440743923,28,47,2,0,11.594135036692023,7.7182892095297575,understat
ESP-La Liga,2022,147,9211,M S,36,2713,6,4,6.019259100779891,5.542633295059204,61,44,3,0,15.79513369873166,5.758142877370119,understat
ESP-La Liga,2022,147,8728,M S,26,812,0,0,0.8968567624688148,1.0348574705421925,18,12,5,0,3.321724507957697,2.219027554616332,understat
ESP-La Liga,2022,147,7779,M S,36,2588,10,2,8.514426482841372,4.576554672792554,57,44,6,1,16.236426129937172,6.456854950636625,understat
ESP-La Liga,2022,147,2400,F M S,35,900,2,3,4.578567340970039,1.1561676627025008,51,8,4,0,7.000629723072052,1.9284863211214542,understat
ESP-La Liga,2022,147,5185,GK,31,2748,0,0,0.0,0.0,0,0,2,0,2.2873655147850513,2.2873655147850513,understat
ESP-La Liga,2022,147,8329,S,10,165,0,0,0.2496228963136673,0.11010274291038513,3,2,2,0,1.016166266053915,0.6892892625182867,understat
ESP-La Liga,2022,147,5062,D S,28,2343,1,1,0.5225457046180964,1.3482149224728346,8,14,7,1,5.6391239408403635,4.689123958349228,understat
ESP-La Liga,2022,147,2229,D S,29,2403,1,1,1.2711219070479274,1.3173321727663279,28,21,7,1,6.933278899639845,5.953086618334055,understat
ESP-La Liga,2022,147,2403,D S,20,1326,0,1,0.2463474990800023,0.6050042938441038,9,13,1,0,5.181081855669618,4.613216044381261,understat
ESP-La Liga,2022,143,2270,F M S,38,2853,15,16,11.751190435141325,15.643586406484246,111,85,2,0,30.893705546855927,11.25261721946299,understat
ESP-La Liga,2022,143,10430,S,1,4,0,0,0.0,0.0,0,0,0,0,0.0,0.0,understat
ESP-La Liga,2022,143,3059,D M S,33,2248,0,0,0.6476856879889965,0.6030205879360437,10,4,2,1,5.926980650052428,5.545728325843811,understat
ESP-La Liga,2022,143,10101,S,4,20,0,0,0.060428109019994736,0.0,1,0,1,0,0.09418990090489388,0.03376179188489914,understat
ESP-La Liga,2022,143,7921,D S,3,190,0,0,0.07861319929361343,0.03996080160140991,1,2,0,0,0.05738639831542969,0.05738639831542969,understat
ESP-La Liga,2022,143,1516,M S,20,995,0,2,0.4258688949048519,0.8495348133146763,11,5,4,0,3.6225244365632534,3.2028514184057713,understat
ESP-La Liga,2022,143,2278,D S,28,2419,2,1,2.6335246935486794,0.5391086456365883,22,7,9,0,7.911925621330738,7.051249861717224,understat
ESP-La Liga,2022,143,8923,GK S,12,916,0,0,0.0,0.0,0,0,2,0,1.2085706405341625,1.2085706405341625,understat
ESP-La Liga,2022,143,2261,GK,28,2501,0,0,0.0,0.0,0,0,1,0,4.0580178634263575,4.0580178634263575,understat
ESP-La Liga,2022,143,7892,F M S,14,646,3,3,3.3993573170155287,1.8245068956166506,26,10,5,0,6.138477439060807,1.3330573067069054,understat
ESP-La Liga,2022,143,2269,M S,33,2581,0,3,0.9929699571803212,1.582923498004675,16,28,4,0,16.828235615044832,15.166579578071833,understat
ESP-La Liga,2022,143,2518,D F M S,22,1722,1,2,1.6064223777502775,4.316094780340791,24,29,5,0,10.921120278537273,5.815340643748641,understat
ESP-La Liga,2022,143,6136,D S,26,2110,3,2,2.9311587368138134,2.014459842815995,15,14,3,2,12.600461326539516,11.598210141062737,understat
ESP-La Liga,2022,143,7080,F M S,11,352,0,2,1.8705846816301346,0.6728475950658321,12,6,2,0,3.504625104367733,1.0299734994769096,understat
ESP-La Liga,2022,143,6852,S,2,15,0,0,0.0,0.0,0,0,0,0,0.12806999683380127,0.12806999683380127,understat
ESP-La Liga,2022,143,555,F S,10,386,5,0,4.539924480021,0.7684173043817282,17,8,1,0,6.1499131470918655,1.0386573784053326,understat
ESP-La Liga,2022,143,8963,D M,33,2873,4,2,3.221422616392374,3.716898473445326,21,38,7,1,17.213840421289206,11.33504480496049,understat
ESP-La Liga,2022,143,10494,M S,21,698,0,1,0.6069962363690138,0.7881265692412853,12,4,4,0,3.8548511005938053,2.729511460289359,understat
